Year,Month,Burned Area [ha],Total Emissions [t],CO2 - Carbon Dioxide [t],CO - Carbon Monoxide [t],TPM - Total Particulate Matter [t],PM2.5 - Fine Particulate Matter [t],TPC - Total Particulate Carbon (OC+BC) [t],NMHC - Non-methane Hydrocarbon Compounds [t],OC - Organic Carbon [t],CH4 - Methane [t],SSO2 - ulfur Dioxide [t],BC - Black Carbon [t],NOx - Nitrogen Oxides [t]
2002,,0,5628.013,5238.683,267.516,33.809,21.472,9.707,21.812,7.867,12.733,1.405,1.824,11.184
2003,,15627.151,256495.697,238299.049,12517.360,1578.933,977.647,448.897,1047.514,362.101,610.959,64.031,86.179,503.027
2004,,1481.145,46103.328,42523.176,2444.388,316.413,184.286,95.076,221.786,77.877,126.727,12.479,17.142,83.977
2005,,8865.403,100700.875,92776.322,5506.734,678.019,371.632,176.038,506.809,136.396,297.343,23.969,39.540,188.072
2006,,1395.281,68681.973,63814.597,3351.940,421.444,260.515,118.745,280.304,95.479,163.810,17.009,23.100,135.031
2007,,112717.269,2425120.792,2259238.698,113688.601,14465.326,9333.969,4239.534,9151.342,3462.594,5325.124,614.015,770.008,4831.580
2008,,14489.46,177294.305,163838.146,9250.812,1172.918,684.617,334.442,824.208,269.210,477.086,45.359,64.962,332.545
2009,,6439.76,86831.897,80262.221,4521.385,571.408,333.513,161.525,401.829,129.628,233.064,22.020,31.761,163.543
2010,,9745.504,106163.595,97869.824,5749.831,712.553,395.919,189.038,525.836,147.822,307.611,25.701,41.097,198.365
2011,,41407.658,618040.155,572677.191,31117.024,3963.891,2396.929,1151.396,2688.548,934.392,1555.381,158.962,215.789,1180.652
2012,,43425.45,1350748.532,1257825.012,63228.649,8214.005,5355.225,2539.056,5108.211,2110.022,2932.815,358.821,425.261,2651.457
2013,,965.964,41551.388,38413.796,2172.823,269.679,155.078,72.312,193.038,56.883,113.096,10.053,15.363,79.266
2014,,321.988,46026.161,42429.568,2465.849,315.534,180.798,91.855,225.086,74.397,129.408,12.122,17.407,84.137
2015,,4185.844,134851.758,125480.548,6418.806,818.793,521.592,240.960,525.294,196.929,304.812,34.443,43.672,265.908
2016,,2962.29,50626.973,46763.343,2670.596,333.446,190.876,90.865,239.350,71.892,139.674,12.462,18.900,95.570
2017,,26660.607,647473.087,602001.097,31171.675,3969.173,2500.108,1160.287,2579.521,945.621,1497.260,165.002,213.027,1270.316
2018,,3992.651,73660.887,68668.955,3410.379,437.667,286.711,131.454,271.452,108.300,157.230,18.985,22.935,146.818
2019,,3584.8,153237.211,141963.569,7769.630,976.599,582.444,273.114,673.563,218.602,392.599,38.149,54.216,294.724
2020,,6031.909,129919.272,120836.554,6204.389,797.823,508.577,239.599,510.466,197.106,294.628,33.842,42.156,254.131
2021,,18589.441,403418.749,375470.795,19191.187,2430.069,1543.595,701.281,1566.772,569.353,913.439,101.228,130.838,800.193
2022,,6740.282,186998.533,173858.440,9010.418,1146.369,721.229,334.325,746.116,272.242,433.274,47.567,61.610,366.942
2023,,2189.518,167861.275,155949.010,8204.442,1031.264,636.500,290.259,687.045,233.283,401.532,41.551,56.574,329.815
