Year,Month,Burned Area [ha],Total Emissions [t],CO2 - Carbon Dioxide [t],CO - Carbon Monoxide [t],TPM - Total Particulate Matter [t],PM2.5 - Fine Particulate Matter [t],TPC - Total Particulate Carbon (OC+BC) [t],NMHC - Non-methane Hydrocarbon Compounds [t],OC - Organic Carbon [t],CH4 - Methane [t],SSO2 - ulfur Dioxide [t],BC - Black Carbon [t],NOx - Nitrogen Oxides [t]
2002,,2146.587,262656.998,240969.724,14097.200,2090.332,1297.964,831.042,1333.864,736.056,699.370,97.863,94.888,408.695
2003,,75237.865,2452405.204,2265743.979,125676.534,16900.454,10353.099,5588.911,11174.244,4723.366,6247.234,722.026,861.873,4413.485
2004,,10282.15,211711.493,194514.907,11642.994,1546.235,886.141,492.238,1094.135,410.220,614.954,61.703,81.895,366.071
2005,,1846.065,422492.313,387701.398,23022.643,3256.329,1950.588,1186.976,2179.426,1028.548,1178.894,142.715,158.259,686.536
2006,,11054.922,225921.099,207578.629,12318.974,1672.894,978.649,560.816,1155.797,474.849,641.183,69.378,85.833,384.097
2007,,46817.057,1101762.891,1023463.316,52232.330,7180.844,4741.172,2515.628,4338.492,2166.564,2395.842,333.038,346.417,2049.249
2008,,20134.984,641557.248,590698.424,33122.872,4878.723,3105.894,1925.108,3031.147,1703.738,1595.360,231.772,220.754,1043.456
2009,,3112.551,482464.689,442437.628,26571.893,3727.615,2204.464,1335.561,2531.230,1151.687,1376.207,160.563,183.735,784.106
2010,,4164.378,141846.620,131022.442,7205.801,999.572,626.376,353.484,640.561,304.497,351.104,44.715,48.779,249.289
2011,,33164.765,778343.828,718665.951,39666.150,5526.969,3462.045,1971.337,3539.959,1701.848,1934.541,248.085,268.393,1358.548
2012,,67875.073,2993955.853,2769444.508,145932.603,21551.990,14330.785,8594.052,12693.554,7635.938,6659.766,1061.887,952.951,5097.818
2013,,2747.631,157497.580,145149.406,8193.086,1148.161,709.585,413.192,745.308,357.323,405.680,51.215,55.695,268.930
2014,,2983.756,268100.351,245859.268,14613.419,2107.097,1275.169,796.323,1389.997,696.438,742.633,94.592,99.805,425.611
2015,,9402.05,321209.721,297315.108,15914.530,2202.179,1406.462,777.298,1382.115,669.781,759.133,99.871,106.935,576.311
2016,,16314.059,311957.792,287835.762,16363.994,2156.494,1281.009,678.380,1477.497,564.217,835.685,88.063,113.765,562.926
2017,,54051.054,1780122.615,1643194.863,90433.500,12820.255,8116.735,4730.640,8082.809,4120.515,4366.636,588.738,607.689,3060.236
2018,,1352.35,96693.877,89235.068,4938.466,695.522,437.163,253.286,442.739,219.840,240.233,31.584,33.318,166.660
2019,,11956.488,531319.585,489719.068,27499.851,3892.129,2426.843,1428.673,2496.910,1242.063,1350.315,176.300,186.013,901.420
2020,,34474.183,1231050.018,1136042.125,61918.054,9093.297,5893.798,3579.850,5534.906,3168.657,2917.697,437.230,409.552,2054.852
2021,,33486.753,917038.977,848683.620,46030.669,6180.953,3850.264,2043.083,4015.967,1727.735,2248.894,267.480,313.717,1676.593
2022,,11913.556,816588.447,754153.437,40796.455,5947.996,3862.428,2314.008,3618.066,2042.875,1916.885,284.886,269.941,1381.470
2023,,1803.133,108976.767,100226.346,5600.299,863.217,562.531,366.611,516.520,329.882,263.099,43.129,36.642,168.491
