Year,Month,Burned Area [ha],Total Emissions [t],CO2 - Carbon Dioxide [t],CO - Carbon Monoxide [t],TPM - Total Particulate Matter [t],PM2.5 - Fine Particulate Matter [t],TPC - Total Particulate Carbon (OC+BC) [t],NMHC - Non-methane Hydrocarbon Compounds [t],OC - Organic Carbon [t],CH4 - Methane [t],SSO2 - ulfur Dioxide [t],BC - Black Carbon [t],NOx - Nitrogen Oxides [t]
2002,,1481.145,13631.295,12677.190,656.301,82.735,51.861,23.538,54.182,19.004,31.647,3.390,4.499,26.949
2003,,2404.177,32561.001,30055.407,1737.917,214.904,120.909,56.781,156.971,44.362,92.026,7.820,12.377,61.526
2004,,1373.816,14248.012,13191.672,730.379,90.983,53.433,24.748,63.817,19.594,37.363,3.471,5.128,27.426
2005,,2017.792,6608.274,6158.543,308.543,39.132,25.309,11.379,24.709,9.271,14.413,1.659,2.089,13.226
2006,,0,3748.192,3487.868,178.940,22.595,14.287,6.467,14.652,5.235,8.555,0.935,1.222,7.436
2007,,2640.302,12602.169,11877.629,488.380,64.474,50.011,21.374,30.935,18.288,17.830,3.328,3.025,26.895
2008,,1717.269,7154.162,6762.784,262.268,35.081,28.652,12.085,15.137,10.473,8.675,1.914,1.574,15.519
2009,,0,938.341,883.301,37.184,4.884,3.709,1.594,2.436,1.357,1.407,0.246,0.233,1.989
2010,,622.51,7017.912,6594.448,286.984,37.428,27.588,11.952,19.657,10.093,11.378,1.829,1.829,14.726
2011,,579.578,3142.390,2937.542,139.949,17.921,12.153,5.389,10.654,4.450,6.200,0.800,0.928,6.402
2012,,1738.735,7084.522,6588.801,340.982,42.988,26.955,12.233,28.141,9.878,16.436,1.762,2.337,14.008
2013,,2060.723,12860.722,12123.165,497.011,65.656,51.061,21.808,31.345,18.671,18.061,3.399,3.074,27.470
2014,,536.647,4416.770,4147.648,182.578,23.755,17.329,7.528,12.689,6.340,7.351,1.148,1.170,9.235
2015,,515.181,4700.912,4423.972,187.188,24.559,18.568,7.989,12.350,6.791,7.135,1.233,1.177,9.949
2016,,2253.916,12893.860,12197.492,465.914,62.539,51.758,21.758,26.186,18.916,14.982,3.460,2.772,28.083
2017,,0,1083.745,1007.245,52.663,6.627,4.115,1.873,4.386,1.508,2.563,0.269,0.362,2.134
2018,,0,3460.329,3249.309,143.173,18.624,13.574,5.899,9.963,4.966,5.772,0.899,0.918,7.233
2019,,85.863,1158.525,1080.764,53.278,6.778,4.451,1.992,4.200,1.630,2.448,0.292,0.358,2.332
2020,,558.113,8018.336,7464.729,380.326,48.085,30.606,13.827,30.944,11.213,18.062,2.004,2.591,15.948
2021,,5602.591,10273.222,9630.244,437.451,56.550,40.083,17.552,31.582,14.669,18.331,2.649,2.843,21.267
2022,,42.932,3145.195,2928.554,148.798,18.822,12.012,5.422,12.076,4.401,7.048,0.787,1.013,6.262
2023,,1094.759,6884.361,6446.264,298.573,38.447,26.766,11.780,22.042,9.797,12.808,1.766,1.957,14.161
