Year,Month,Burned Area [ha],Total Emissions [t],CO2 - Carbon Dioxide [t],CO - Carbon Monoxide [t],TPM - Total Particulate Matter [t],PM2.5 - Fine Particulate Matter [t],TPC - Total Particulate Carbon (OC+BC) [t],NMHC - Non-methane Hydrocarbon Compounds [t],OC - Organic Carbon [t],CH4 - Methane [t],SSO2 - ulfur Dioxide [t],BC - Black Carbon [t],NOx - Nitrogen Oxides [t]
2002,,158418.101,3043744.693,2814706.200,147919.136,22216.556,14902.639,9110.414,12888.705,8146.441,6677.211,1115.376,958.851,5103.165
2003,,206007.929,4293302.163,3996460.195,195849.184,27699.787,19071.915,10309.826,15740.478,9029.864,8521.743,1360.186,1268.140,7990.844
2004,,200469.735,4184816.727,3881459.392,201050.160,28159.356,18532.977,10220.676,17005.699,8880.466,9267.557,1322.147,1331.194,7587.104
2005,,182867.724,4107006.991,3846789.267,169270.925,24743.554,18634.898,9889.677,12144.271,8835.477,6394.814,1338.838,1038.630,7926.640
2006,,143134.403,5437557.571,5051526.482,240125.440,39521.728,29163.047,18634.304,19480.325,17176.295,9269.004,2260.370,1444.609,8955.965
2007,,83330.497,1408341.695,1309086.599,65935.524,9164.268,6139.624,3287.305,5422.210,2850.054,2972.201,434.036,433.715,2616.160
2008,,32928.64,1402563.679,1298550.248,67498.172,10006.003,6726.322,4020.576,5805.930,3579.780,3036.602,498.631,438.169,2403.246
2009,,94278.089,2216741.527,2063676.473,98861.663,14786.333,10549.555,6078.361,7873.935,5450.721,4078.456,777.411,621.468,3987.151
2010,,31018.178,1579904.885,1465695.582,73532.862,11111.844,7708.104,4621.635,6150.365,4150.055,3165.548,575.215,468.087,2725.588
2011,,87516.341,2606926.759,2416003.555,120705.023,19112.610,13511.036,8522.747,10179.408,7764.777,5040.882,1034.345,752.612,4299.764
2012,,204011.603,5006509.386,4669006.352,213788.582,33559.811,25039.549,14902.374,16425.278,13592.651,8131.633,1884.206,1294.264,8884.686
2013,,75066.138,1743973.584,1616488.189,82923.167,12210.178,8260.964,4857.670,7036.103,4316.766,3697.455,608.699,537.313,3037.082
2014,,32864.243,1345646.461,1241682.139,67610.586,9985.238,6492.631,3969.168,6046.908,3521.260,3174.785,483.322,446.132,2234.292
2015,,82579.192,1751759.194,1629150.059,77906.251,12156.347,8799.057,5330.216,6264.826,4844.659,3130.403,664.107,480.954,3032.315
2016,,76354.09,1736893.173,1610021.290,80449.059,12642.709,8913.971,5577.897,6771.839,5071.030,3374.876,679.679,503.241,2887.579
2017,,138991.491,4087153.811,3787635.694,185831.122,30820.845,22358.734,14635.399,15596.876,13499.334,7399.769,1747.535,1127.644,6500.858
2018,,12299.942,534593.704,496116.699,25389.048,3596.873,2400.047,1336.208,2129.432,1168.252,1151.209,172.333,166.754,966.849
2019,,51453.684,1833853.939,1698810.362,86100.381,13350.527,9283.862,5769.424,7319.404,5221.459,3692.049,704.143,544.338,3057.990
2020,,55596.596,1279828.614,1187836.425,59724.983,8830.273,6067.502,3544.386,4978.344,3157.714,2606.699,446.976,383.756,2251.555
2021,,69721.137,1364684.372,1267085.636,64299.461,9144.789,6149.487,3425.232,5355.325,3001.520,2887.124,442.250,420.531,2473.018
2022,,280322.762,7475734.106,6958853.559,334708.846,49729.479,35304.936,20215.849,26723.361,18082.416,13919.355,2592.713,2112.754,13490.839
2023,,61649.971,1728916.174,1600410.294,80283.642,13100.048,9328.918,6081.527,6851.753,5583.489,3307.449,725.727,494.804,2748.522
