Year,Month,Burned Area [ha],Total Emissions [t],CO2 - Carbon Dioxide [t],CO - Carbon Monoxide [t],TPM - Total Particulate Matter [t],PM2.5 - Fine Particulate Matter [t],TPC - Total Particulate Carbon (OC+BC) [t],NMHC - Non-methane Hydrocarbon Compounds [t],OC - Organic Carbon [t],CH4 - Methane [t],SSO2 - ulfur Dioxide [t],BC - Black Carbon [t],NOx - Nitrogen Oxides [t]
2002,,96231.483,854366.212,786254.152,45760.596,6203.294,3678.927,2076.206,4231.004,1758.152,2350.694,259.792,317.323,1476.071
2003,,73220.073,2895969.060,2682023.885,137954.669,20786.855,14163.945,8585.683,11801.768,7693.336,6094.299,1058.912,886.765,4918.942
2004,,67918.004,1180439.452,1086143.809,63935.871,8450.328,4891.731,2665.130,5930.407,2215.779,3344.328,338.507,448.382,2075.180
2005,,58430.091,1490512.318,1377168.278,74403.367,10714.345,6924.660,4078.024,6572.510,3581.393,3512.599,506.474,494.351,2556.315
2006,,31511.893,749602.075,692239.522,38787.024,5155.719,3113.531,1658.338,3468.288,1389.481,1952.450,215.291,267.792,1354.640
2007,,11698.898,655713.101,604214.521,34461.584,4719.634,2858.782,1618.639,3144.621,1381.126,1736.799,203.025,236.811,1137.560
2008,,51689.809,1186884.021,1102180.952,56007.930,7887.265,5277.329,2899.335,4659.697,2528.754,2530.086,377.006,367.785,2167.882
2009,,29558.499,1438091.606,1321382.933,74625.887,11534.239,7475.379,4914.658,6944.081,4424.418,3531.619,574.931,489.318,2194.142
2010,,33057.436,762146.146,703016.324,39405.124,5454.665,3366.610,1916.584,3555.339,1647.184,1950.885,240.540,268.452,1324.438
2011,,15584.22,721333.546,666316.738,36534.655,5101.991,3215.011,1829.197,3244.520,1581.606,1770.609,230.564,246.523,1262.132
2012,,40935.409,959193.827,882500.914,50275.857,7281.841,4547.950,2785.756,4639.852,2446.235,2470.861,336.397,338.720,1569.443
2013,,9251.789,649776.428,599726.309,33910.215,4483.824,2680.317,1422.855,3050.803,1186.859,1722.405,184.688,235.132,1173.021
2014,,27626.571,710646.361,655263.058,36249.414,5266.240,3361.524,2031.434,3271.603,1788.754,1738.132,248.129,241.830,1186.244
2015,,16700.445,777460.663,723144.821,35195.931,5222.842,3675.855,2116.289,2843.651,1891.004,1483.227,270.185,223.235,1393.623
2016,,23569.522,1088620.284,1009438.675,51693.312,7537.136,5085.689,2949.006,4368.673,2610.687,2312.622,372.299,336.010,1916.175
2017,,52827.5,3621015.729,3342603.668,182959.002,26284.019,16812.930,9947.407,16328.867,8720.836,8741.829,1229.912,1221.580,6165.682
2018,,1373.816,689166.421,636423.460,35668.712,4739.270,2860.799,1522.878,3189.829,1275.586,1796.132,197.751,246.314,1245.690
2019,,47525.43,1849982.193,1701796.367,98171.379,13827.318,8435.336,5014.162,9090.332,4342.312,4930.993,612.871,670.370,3090.753
2020,,9015.664,2045751.433,1883094.427,107744.246,15176.105,9312.831,5508.294,9915.272,4772.428,5378.621,675.895,734.013,3439.302
2021,,21337.072,2401084.062,2238997.412,107121.929,15063.880,10538.249,5562.437,8384.311,4865.991,4559.808,746.327,689.139,4554.578
2022,,56390.833,55308700.276,50887355.977,2933621.573,411448.440,250539.611,147976.204,271262.250,127872.366,147547.633,18144.751,20058.060,92873.412
2023,,17516.148,865732.325,799626.774,43461.307,6234.174,4004.786,2354.518,3855.063,2063.528,2065.960,292.375,289.715,1484.124
