Year,Month,Burned Area [ha],Total Emissions [t],CO2 - Carbon Dioxide [t],CO - Carbon Monoxide [t],TPM - Total Particulate Matter [t],PM2.5 - Fine Particulate Matter [t],TPC - Total Particulate Carbon (OC+BC) [t],NMHC - Non-methane Hydrocarbon Compounds [t],OC - Organic Carbon [t],CH4 - Methane [t],SSO2 - ulfur Dioxide [t],BC - Black Carbon [t],NOx - Nitrogen Oxides [t]
2002,,77513.247,1866254.680,1713279.952,105507.784,13301.530,7185.111,3685.676,10012.168,2925.299,5788.130,477.139,759.567,3332.324
2003,,153931.735,2791385.494,2572305.928,149499.447,19390.683,11206.604,5847.609,13683.918,4793.668,7806.063,761.172,1050.971,5039.431
2004,,167154.709,3401505.298,3123357.464,193211.952,23858.038,12635.902,6209.728,18320.360,4807.216,10706.699,820.316,1400.937,6176.687
2005,,56755.753,1555501.704,1431721.731,84954.027,10847.355,6099.973,3130.276,7871.919,2525.474,4526.893,408.951,603.456,2811.649
2006,,51303.423,1394425.943,1282548.338,76953.783,9768.031,5420.088,2769.260,7179.911,2219.017,4140.410,361.602,549.203,2516.301
2007,,228697.351,5771013.590,5332789.518,292958.936,40168.416,25043.774,13870.110,25952.106,11870.870,14333.714,1771.750,1990.384,10264.014
2008,,130512.473,4246619.760,3914378.583,227045.353,29325.339,16930.941,8751.213,20733.012,7149.202,11857.154,1145.184,1597.308,7706.470
2009,,54330.11,1589806.604,1469908.838,81875.599,10578.426,6315.774,3177.202,7243.256,2605.214,4149.461,425.519,569.427,2957.886
2010,,71932.121,2435892.141,2238309.242,136341.220,17156.274,9340.700,4735.484,12835.924,3754.693,7432.089,618.400,979.363,4388.754
2011,,87473.409,2510897.773,2312436.820,135444.740,17567.822,10089.073,5292.442,12469.801,4335.834,7111.122,685.844,954.185,4510.090
2012,,157666.796,3870737.993,3569402.905,201639.213,27606.789,16840.146,9472.306,18261.845,8085.746,10090.012,1194.212,1381.942,6762.876
2013,,36255.85,1595313.446,1468842.789,87033.796,11025.986,6174.715,3114.559,8043.997,2493.641,4646.571,410.626,619.456,2907.309
2014,,102263.392,2776283.202,2554101.508,153675.873,19194.835,10504.571,5194.447,14322.552,4089.505,8331.542,689.161,1102.782,5076.425
2015,,17494.682,1481916.016,1376047.418,71013.312,9619.251,6255.831,3261.854,5939.898,2783.287,3312.588,435.071,475.111,2772.395
2016,,55317.54,1946126.628,1805541.370,95173.586,12573.657,7946.859,4019.317,8070.613,3368.647,4571.830,542.882,646.420,3671.447
2017,,122376.91,4919013.282,4540121.401,252853.693,34857.176,21569.934,12152.954,22676.996,10424.588,12477.843,1535.024,1721.766,8621.908
2018,,17666.409,1189704.879,1100011.837,61194.388,7926.418,4744.278,2396.514,5410.923,1969.490,3095.262,320.349,425.102,2210.318
2019,,69807.001,1742674.301,1605290.478,93792.562,12152.343,6988.340,3652.218,8617.280,2989.948,4917.706,474.454,660.525,3138.446
2020,,38488.3,1729632.595,1593049.181,92558.049,12245.524,7166.549,3877.644,8504.151,3229.352,4794.999,495.610,646.590,3064.947
2021,,205986.463,5753591.815,5301528.817,302960.429,41323.615,24937.543,14047.149,27662.505,11955.197,15316.535,1765.755,2085.833,10008.437
2022,,38509.766,2325743.022,2141706.003,124007.448,16669.431,9875.818,5478.908,11401.487,4615.626,6368.011,692.098,861.051,4067.141
2023,,91938.31,2939182.859,2713972.106,153992.231,19837.682,11643.970,5897.843,13817.896,4816.116,7922.562,783.832,1077.628,5420.994
