Year,Month,Burned Area [ha],Total Emissions [t],CO2 - Carbon Dioxide [t],CO - Carbon Monoxide [t],TPM - Total Particulate Matter [t],PM2.5 - Fine Particulate Matter [t],TPC - Total Particulate Carbon (OC+BC) [t],NMHC - Non-methane Hydrocarbon Compounds [t],OC - Organic Carbon [t],CH4 - Methane [t],SSO2 - ulfur Dioxide [t],BC - Black Carbon [t],NOx - Nitrogen Oxides [t]
2002,,515.181,15866.008,14742.510,773.646,97.288,60.193,27.429,64.643,22.060,37.776,3.930,5.330,31.204
2003,,3563.334,109362.004,101432.687,5471.794,684.716,412.470,189.516,468.096,151.214,273.820,26.863,38.070,212.758
2004,,11248.114,117230.364,109091.835,5594.004,706.426,446.884,202.264,457.841,163.741,267.312,29.240,38.209,232.608
2005,,8629.279,109378.594,102596.347,4609.798,597.245,427.590,186.724,328.533,156.474,190.563,28.279,29.812,227.227
2006,,8908.335,117531.271,109354.167,5621.651,709.588,447.799,202.826,461.167,164.081,269.281,29.293,38.435,232.982
2007,,2017.792,40311.103,37422.916,1990.934,249.751,152.491,69.771,168.337,55.895,98.422,9.944,13.784,78.858
2008,,880.101,19465.708,18004.011,1011.763,125.714,72.757,33.856,89.438,26.685,52.389,4.720,7.139,37.237
2009,,5817.25,53540.602,49708.482,2641.378,331.416,202.588,92.659,223.105,74.257,130.438,13.213,18.279,104.787
2010,,4142.912,34020.817,31461.270,1771.966,220.087,127.095,59.184,156.909,46.617,91.917,8.242,12.511,65.018
2011,,4636.627,68707.127,63572.074,3552.964,441.877,257.124,119.441,312.741,94.301,183.158,16.688,25.022,131.737
2012,,13244.44,110695.920,104300.566,4313.224,568.702,438.884,187.822,275.510,160.495,158.867,29.196,26.799,235.855
2013,,3756.527,50085.222,46379.671,2561.640,319.236,187.930,86.976,223.389,68.914,130.779,12.211,17.969,96.506
2014,,5302.069,37432.126,34951.858,1697.223,216.535,144.244,64.293,131.793,52.823,76.765,9.482,11.348,75.761
2015,,2618.836,43483.228,40300.995,2197.775,274.497,163.615,75.426,189.703,59.989,111.011,10.645,15.349,84.224
2016,,5323.535,42552.607,39854.460,1838.166,236.896,165.568,72.789,135.058,60.603,78.459,10.928,12.027,87.651
2017,,3176.948,81185.828,75815.304,3674.400,468.961,312.965,139.422,284.763,114.608,165.850,20.576,24.549,164.429
2018,,3627.732,46682.739,43130.104,2461.870,305.086,173.867,81.310,220.230,63.782,129.063,11.260,17.459,88.708
2019,,5216.206,73551.738,68746.209,3283.809,420.288,284.323,126.164,250.691,104.104,145.903,18.715,21.809,149.721
2020,,7233.997,105144.483,98358.739,4631.257,594.416,407.549,180.149,348.167,149.203,202.486,26.857,30.573,215.086
2021,,4550.764,219260.577,206548.718,8576.678,1129.831,868.738,372.136,551.100,317.698,317.888,57.775,53.401,466.613
2022,,31984.142,656092.451,616395.428,26910.836,3507.345,2577.761,1117.617,1850.841,943.079,1071.589,170.840,171.734,1375.380
2023,,6847.612,131079.997,122960.299,5518.258,715.118,512.534,223.751,392.721,187.556,227.778,33.900,35.668,272.414
