Year,Month,Burned Area [ha],Total Emissions [t],CO2 - Carbon Dioxide [t],CO - Carbon Monoxide [t],TPM - Total Particulate Matter [t],PM2.5 - Fine Particulate Matter [t],TPC - Total Particulate Carbon (OC+BC) [t],NMHC - Non-methane Hydrocarbon Compounds [t],OC - Organic Carbon [t],CH4 - Methane [t],SSO2 - ulfur Dioxide [t],BC - Black Carbon [t],NOx - Nitrogen Oxides [t]
2002,,2361.245,149928.866,141694.397,5520.668,737.655,600.040,253.339,321.167,219.328,184.159,40.069,33.221,324.823
2003,,2940.824,46237.029,43075.966,2169.620,274.896,176.897,79.655,174.635,64.804,101.886,11.593,14.719,92.358
2004,,2790.563,36982.723,33969.813,2099.454,256.829,135.138,64.903,198.603,49.624,116.642,8.677,15.260,67.780
2005,,579.578,25815.288,24022.478,1232.325,155.610,98.400,44.542,100.897,36.055,58.910,6.438,8.419,51.215
2006,,558.113,18227.557,17093.283,771.240,99.837,71.203,31.127,55.240,26.057,32.050,4.708,4.997,37.816
2007,,1953.394,98760.055,92899.643,3964.347,519.175,389.533,167.950,264.608,142.484,152.955,25.858,25.023,208.480
2008,,837.169,183509.491,172919.884,7140.996,941.830,727.737,311.336,455.217,266.123,262.461,48.416,44.337,391.153
2009,,1438.213,12431.747,11491.614,651.137,80.792,46.379,21.639,57.925,17.012,33.939,3.006,4.607,23.698
2010,,4743.957,50372.894,46933.376,2360.461,299.157,192.777,86.770,189.734,70.620,110.688,12.635,16.004,100.673
2011,,7663.315,109843.307,102719.156,4864.642,623.661,425.301,188.286,368.002,155.710,214.085,28.014,32.192,224.256
2012,,9702.572,101015.368,94771.219,4242.660,550.091,395.152,172.399,301.040,144.598,174.577,26.141,27.392,210.099
2013,,14231.87,92138.245,86355.850,3935.174,508.383,359.286,157.462,285.161,131.495,165.544,23.737,25.611,190.542
2014,,21315.606,152607.606,142408.296,6985.158,889.466,586.925,262.331,547.946,214.956,319.310,38.550,46.896,307.772
2015,,7448.656,43694.679,40922.256,1888.899,243.396,169.987,74.748,138.909,62.221,80.700,11.219,12.363,89.980
2016,,5731.387,105386.874,99249.105,4143.284,545.174,417.191,178.934,268.272,152.574,154.812,27.735,25.868,223.926
2017,,17172.694,736609.895,693010.534,29484.998,3863.844,2906.823,1252.392,1960.101,1063.237,1132.776,192.998,185.834,1556.359
2018,,1073.293,20132.441,18800.968,910.945,116.269,77.613,34.573,70.578,28.422,41.105,5.103,6.086,40.779
2019,,6461.226,44742.082,41708.791,2080.260,264.058,171.513,77.017,165.880,62.826,96.737,11.249,14.059,89.693
2020,,20306.71,233612.515,219672.216,9435.912,1234.016,920.405,397.468,635.373,336.686,367.449,61.070,59.749,492.172
2021,,25587.314,393412.331,367635.773,17619.105,2253.585,1519.829,675.003,1349.749,556.499,785.685,100.014,117.176,799.911
2022,,8672.21,189472.268,177495.512,8156.797,1051.984,737.706,324.015,596.848,270.013,346.655,48.706,53.285,390.749
2023,,4980.081,100434.405,93988.653,4396.731,565.041,389.765,171.991,328.191,142.684,190.802,25.698,28.944,205.904
