Year,Month,Burned Area [ha],Total Emissions [t],CO2 - Carbon Dioxide [t],CO - Carbon Monoxide [t],TPM - Total Particulate Matter [t],PM2.5 - Fine Particulate Matter [t],TPC - Total Particulate Carbon (OC+BC) [t],NMHC - Non-methane Hydrocarbon Compounds [t],OC - Organic Carbon [t],CH4 - Methane [t],SSO2 - ulfur Dioxide [t],BC - Black Carbon [t],NOx - Nitrogen Oxides [t]
2002,,393812.802,1740239.264,1610563.910,89495.357,11210.960,6585.465,3097.588,7851.946,2466.627,4581.251,430.420,627.893,3327.848
2003,,347983.175,2061370.183,1901356.376,110436.540,13860.852,7845.897,3824.534,10038.003,3038.043,5834.878,515.795,784.000,3835.265
2004,,410427.383,2309217.796,2132574.639,122209.008,15220.485,8672.417,4114.814,10976.936,3245.204,6413.369,564.857,866.359,4359.710
2005,,405060.917,2153163.682,1989722.702,112931.289,14111.684,8125.680,3858.204,10073.881,3057.271,5878.228,530.674,797.673,4076.395
2006,,584279.443,1978187.248,1836825.868,97036.796,12319.184,7616.060,3561.235,8173.858,2888.734,4746.834,502.150,667.927,3848.602
2007,,409117.966,2937421.973,2715458.660,152763.922,19303.410,11278.742,5455.629,13561.588,4378.242,7867.081,744.485,1072.751,5537.462
2008,,245462.193,1783574.493,1653226.129,89901.495,11271.902,6750.373,3133.231,7747.296,2503.013,4524.205,440.792,626.617,3449.439
2009,,1332000,4671956.750,4315500.289,246894.631,30643.078,17445.665,8201.446,22132.640,6443.447,12957.613,1131.925,1751.260,8854.756
2010,,793399.923,2749193.938,2540767.629,143803.866,18044.560,10443.059,4995.444,12810.004,3977.551,7458.345,684.812,1013.682,5194.987
2011,,983029.395,3825541.609,3535764.098,200445.143,24964.939,14359.636,6761.258,17852.139,5338.632,10437.115,934.473,1416.730,7267.448
2012,,280043.705,1667791.730,1537430.364,90083.866,11269.347,6317.023,3075.932,8237.005,2432.430,4794.405,414.168,641.649,3095.541
2013,,615598.143,2543988.682,2345863.118,136442.516,17235.410,9786.226,4842.424,12430.427,3872.335,7198.922,647.734,967.126,4702.445
2014,,363717.656,2014766.913,1857930.730,106484.667,14004.195,8255.251,4379.117,9670.866,3634.268,5474.972,566.997,742.466,3623.384
2015,,996252.369,3581838.357,3301687.500,194286.387,24054.674,13338.015,6361.940,17786.114,4968.361,10409.078,865.042,1389.641,6691.605
2016,,808769.484,2745908.664,2535264.334,145875.600,18118.788,10268.899,4855.845,13136.982,3815.974,7685.132,667.120,1036.113,5183.876
2017,,486588.281,2292869.365,2121777.911,117494.257,14931.055,8872.351,4296.464,10309.196,3472.514,5966.057,588.077,819.941,4341.542
2018,,331304.196,1726830.451,1595141.666,90328.510,11529.924,6741.074,3346.672,8077.412,2710.614,4656.645,449.708,633.542,3214.684
2019,,404781.86,1656598.248,1532597.258,85305.395,10787.687,6363.823,3060.462,7509.029,2460.557,4356.728,419.982,597.079,3140.247
2020,,490323.342,1927156.844,1785101.954,97210.804,12470.790,7556.456,3689.328,8427.427,3012.533,4854.223,504.595,673.109,3655.624
2021,,654988.01,4857292.081,4565141.070,197290.948,25983.155,19316.607,8496.323,13422.253,7225.904,7715.124,1289.368,1249.341,10161.988
2022,,340427.19,1970339.662,1841710.189,87391.418,11369.293,7783.575,3558.388,6648.921,2975.699,3828.362,519.205,575.949,3978.662
2023,,461881.067,3190252.823,2953024.853,163617.512,20532.102,12103.977,5704.169,14325.926,4552.087,8351.579,792.323,1146.368,6101.927
