Year,Month,Burned Area [ha],Total Emissions [t],CO2 - Carbon Dioxide [t],CO - Carbon Monoxide [t],TPM - Total Particulate Matter [t],PM2.5 - Fine Particulate Matter [t],TPC - Total Particulate Carbon (OC+BC) [t],NMHC - Non-methane Hydrocarbon Compounds [t],OC - Organic Carbon [t],CH4 - Methane [t],SSO2 - ulfur Dioxide [t],BC - Black Carbon [t],NOx - Nitrogen Oxides [t]
2002,,42974.666,415402.493,392060.890,15691.652,2083.961,1655.604,703.212,953.890,605.282,548.447,110.371,95.834,893.353
2003,,92303.23,713424.158,670659.508,28943.744,3787.294,2813.971,1220.443,1961.921,1033.727,1133.624,186.871,183.594,1499.461
2004,,114348.675,992179.030,926021.415,45227.215,5788.162,3841.688,1730.857,3536.061,1425.006,2054.446,253.366,302.708,1998.107
2005,,115572.23,1199001.164,1124511.486,49506.187,6826.522,5061.490,2453.492,3495.797,2137.993,1934.323,350.070,310.707,2413.096
2006,,53321.214,931672.128,875101.287,37835.651,5121.070,3833.315,1777.028,2595.199,1535.756,1459.229,261.125,237.319,1915.147
2007,,201521.563,2380398.782,2232855.718,96821.883,13812.509,10453.373,5302.392,6767.767,4696.634,3639.834,738.248,596.165,4714.258
2008,,99515.761,924940.401,865157.204,39729.052,5491.554,3942.004,1971.684,2956.675,1715.107,1630.711,274.462,253.293,1818.653
2009,,130941.791,1015208.417,948469.097,43472.091,6344.579,4636.210,2517.036,3275.640,2242.292,1729.013,334.561,271.326,1916.574
2010,,82643.589,1035692.178,966105.694,46955.290,6236.677,4219.503,2041.635,3684.583,1728.505,2087.948,286.970,309.934,2035.438
2011,,63796.558,1106382.728,1034785.109,46596.105,6810.468,5043.233,2714.118,3439.668,2421.566,1812.557,363.410,288.625,2107.868
2012,,285538.967,3134048.378,2930735.923,131219.265,19601.936,14660.217,8100.796,9679.615,7285.907,5003.515,1069.568,803.834,5887.801
2013,,33980.468,463750.105,431964.831,21265.748,2894.932,1957.528,998.224,1701.071,857.091,946.868,135.900,139.811,888.101
2014,,122140.785,1389949.994,1301216.571,59046.525,8126.730,5880.406,2897.665,4327.632,2517.218,2395.755,407.608,375.316,2758.567
2015,,49543.222,387381.592,364006.942,15641.255,2113.348,1589.156,731.349,1063.350,631.759,598.979,108.045,97.919,799.490
2016,,48856.314,832942.222,778949.649,35702.879,5002.597,3611.423,1844.593,2660.745,1615.334,1451.930,253.772,226.327,1622.974
2017,,130104.622,2475752.890,2316803.268,104496.397,14864.126,10910.844,5647.977,7671.011,4984.422,4135.744,772.919,654.557,4811.624
2018,,5516.728,148934.078,139194.518,6625.589,858.930,585.708,266.401,505.402,222.129,291.651,38.966,43.765,301.017
2019,,73885.515,677798.565,634246.789,29493.080,3868.800,2701.959,1238.864,2197.502,1044.003,1259.711,181.097,192.417,1374.343
2020,,121732.934,1721519.375,1610801.902,73832.591,10107.070,7243.642,3559.785,5468.734,3081.541,3039.154,500.754,472.038,3412.164
2021,,150132.276,2406281.226,2261187.687,97711.416,12970.394,9663.667,4316.936,6661.106,3689.534,3804.930,648.902,617.021,5009.633
2022,,55317.54,651956.077,611831.850,26497.094,3715.371,2802.519,1382.147,1839.862,1215.321,1004.360,195.671,164.150,1307.731
2023,,60769.87,1023314.122,960566.367,42190.132,5630.588,4145.051,1891.448,2943.674,1619.540,1672.322,279.927,267.678,2107.395
