Year,Month,Burned Area [ha],Total Emissions [t],CO2 - Carbon Dioxide [t],CO - Carbon Monoxide [t],TPM - Total Particulate Matter [t],PM2.5 - Fine Particulate Matter [t],TPC - Total Particulate Carbon (OC+BC) [t],NMHC - Non-methane Hydrocarbon Compounds [t],OC - Organic Carbon [t],CH4 - Methane [t],SSO2 - ulfur Dioxide [t],BC - Black Carbon [t],NOx - Nitrogen Oxides [t]
2002,,10604.138,376377.082,346127.889,21055.658,2582.240,1380.732,659.505,1970.917,506.914,1157.086,88.811,152.323,695.007
2003,,6997.873,289757.127,266140.379,16457.203,2013.063,1058.653,508.534,1557.353,388.751,914.669,67.967,119.636,530.918
2004,,21530.265,473499.306,435183.966,26684.703,3268.441,1733.608,830.327,2511.180,636.532,1474.563,111.408,193.504,871.074
2005,,18417.714,659164.398,605050.995,37729.805,4609.079,2403.226,1157.810,3589.982,882.594,2108.915,154.141,274.951,1202.900
2006,,68776.639,901779.120,826742.626,52372.629,6382.231,3274.577,1586.430,5033.645,1202.857,2958.099,209.637,383.390,1632.998
2007,,66801.779,894523.627,820653.892,51528.182,6287.941,3255.614,1572.283,4924.679,1195.747,2893.456,208.643,376.253,1626.938
2008,,30288.339,538345.048,493390.258,31385.261,3822.230,1952.770,947.460,3024.377,717.356,1777.494,124.953,230.024,972.864
2009,,34152.195,650567.527,596718.512,37569.376,4582.628,2366.095,1143.794,3596.832,869.070,2113.427,151.588,274.542,1181.663
2010,,38745.891,643301.775,589714.435,37405.063,4557.358,2335.215,1131.855,3597.973,857.815,2114.468,149.477,273.920,1164.194
2011,,31898.279,658007.884,603198.166,38258.168,4661.339,2388.634,1157.723,3679.903,877.437,2162.614,152.897,280.163,1190.842
2012,,38574.164,555802.482,509353.736,32430.195,3948.935,2015.620,978.273,3126.849,740.453,1837.758,128.961,237.743,1003.958
2013,,98850.319,1052445.161,964736.842,61224.298,7458.848,3819.911,1851.817,5891.064,1403.211,3462.121,244.497,448.417,1904.136
2014,,72060.917,940594.998,863222.202,53955.520,6588.799,3427.244,1652.520,5141.653,1258.708,3020.608,219.760,393.462,1714.523
2015,,44520.209,545188.275,499558.311,31862.159,3878.728,1976.232,959.759,3075.435,726.002,1807.614,126.414,233.694,983.927
2016,,75216.399,760971.758,697427.601,44363.395,5402.780,2760.332,1339.269,4274.930,1014.016,2512.471,176.628,325.139,1375.197
2017,,38273.641,557378.331,511455.017,32028.370,3910.015,2029.952,979.433,3055.806,745.550,1795.300,130.135,233.688,1015.066
2018,,5731.387,128880.184,118852.711,6961.566,859.009,477.129,225.018,634.692,175.086,372.234,30.817,49.780,242.142
2019,,15154.902,168165.289,154626.058,9425.621,1155.567,616.598,294.726,883.511,226.380,518.719,39.651,68.230,310.229
2020,,18138.658,209916.964,192755.802,11961.490,1462.332,766.270,368.539,1134.538,281.397,666.398,49.176,87.044,383.977
2021,,32993.038,225858.165,207685.189,12650.881,1551.157,828.283,395.810,1185.259,304.096,695.865,53.268,91.557,416.800
2022,,90843.551,323280.639,297604.603,17855.481,2194.633,1189.959,565.716,1655.685,436.797,971.667,76.658,128.634,600.805
2023,,142318.7,625849.751,575384.739,35136.529,4306.466,2293.743,1097.050,3297.462,842.153,1936.064,147.473,254.481,1153.590
