Year,Month,Burned Area [ha],Total Emissions [t],CO2 - Carbon Dioxide [t],CO - Carbon Monoxide [t],TPM - Total Particulate Matter [t],PM2.5 - Fine Particulate Matter [t],TPC - Total Particulate Carbon (OC+BC) [t],NMHC - Non-methane Hydrocarbon Compounds [t],OC - Organic Carbon [t],CH4 - Methane [t],SSO2 - ulfur Dioxide [t],BC - Black Carbon [t],NOx - Nitrogen Oxides [t]
2002,,5860.182,444178.804,407043.939,24785.008,3427.839,1989.898,1191.495,2376.655,1018.585,1303.361,143.630,172.834,725.561
2003,,22710.888,918380.908,846508.382,48583.985,6469.977,3838.204,2083.755,4428.515,1745.200,2488.176,266.571,337.534,1630.608
2004,,3820.924,236671.201,217065.975,13536.333,1702.104,907.901,467.270,1294.895,369.372,749.200,60.193,97.832,420.127
2005,,4851.286,456294.482,418795.207,24799.507,3513.173,2110.499,1284.853,2343.720,1114.407,1266.505,154.532,170.249,741.830
2006,,5044.479,277240.400,256007.230,14692.479,1829.076,1040.537,493.734,1321.103,389.135,771.984,67.750,104.213,523.160
2007,,25115.065,559548.270,517732.229,28026.748,3812.979,2394.576,1297.308,2448.260,1106.260,1359.545,168.071,190.071,1012.224
2008,,14339.199,527662.547,484968.858,28518.440,3929.960,2335.215,1360.841,2666.056,1163.250,1466.024,167.309,197.248,889.347
2009,,5645.523,654156.996,599850.239,37257.619,4771.761,2589.311,1379.772,3566.817,1112.059,2043.627,174.941,267.548,1143.300
2010,,1330.884,100505.989,92377.055,5351.689,766.802,470.719,287.151,498.976,250.714,267.661,34.641,36.370,164.211
2011,,28292.013,794348.043,730811.800,43214.220,5662.315,3248.122,1747.656,4014.646,1442.762,2275.127,223.133,304.258,1404.004
2012,,22904.08,1005038.498,926748.902,51524.307,7377.288,4659.703,2770.439,4653.431,2423.171,2497.108,340.814,346.064,1697.271
2013,,794.237,97434.547,89677.346,5275.614,691.279,398.183,213.517,488.271,176.341,276.754,27.338,37.092,172.811
2014,,1180.623,124276.595,114125.932,6873.057,912.798,520.648,290.394,648.695,241.910,364.523,36.281,48.422,213.937
2015,,5688.455,236002.173,217311.505,11906.626,1855.909,1230.443,802.821,1084.160,725.504,547.088,94.664,77.084,366.368
2016,,3971.185,121887.603,112830.098,6090.626,820.960,514.292,273.832,529.677,232.212,295.934,35.819,41.398,222.756
2017,,51797.138,1242117.799,1151656.476,61609.367,8006.566,4958.229,2454.524,5274.249,2029.351,3016.855,334.438,422.597,2355.147
2018,,1652.872,63364.909,58241.147,3500.552,453.149,254.503,135.365,328.261,110.478,187.210,17.317,24.846,112.081
2019,,4164.378,361729.810,332356.689,19411.894,2753.674,1671.646,1011.099,1816.872,878.188,980.985,122.288,132.692,593.783
2020,,11226.649,216949.321,199998.713,11371.831,1546.243,935.017,522.369,1033.624,443.859,573.500,65.998,78.263,379.905
2021,,4486.366,294984.818,273370.644,14623.643,1936.562,1210.982,621.247,1256.974,520.956,710.520,83.029,99.701,550.561
2022,,13502.031,452180.626,416573.823,23277.720,3393.808,2155.060,1316.117,2119.447,1160.081,1123.376,159.674,155.561,745.960
2023,,1438.213,47161.142,43405.736,2560.718,333.077,190.518,100.969,237.143,82.869,134.975,12.996,18.059,84.082
