Year,Month,Burned Area [ha],Total Emissions [t],CO2 - Carbon Dioxide [t],CO - Carbon Monoxide [t],TPM - Total Particulate Matter [t],PM2.5 - Fine Particulate Matter [t],TPC - Total Particulate Carbon (OC+BC) [t],NMHC - Non-methane Hydrocarbon Compounds [t],OC - Organic Carbon [t],CH4 - Methane [t],SSO2 - ulfur Dioxide [t],BC - Black Carbon [t],NOx - Nitrogen Oxides [t]
2002,,6611.487,21689.852,20026.047,1153.737,142.754,80.610,37.811,103.925,29.575,60.921,5.216,8.207,41.050
2003,,3520.402,26826.200,24747.110,1442.943,178.183,99.420,46.817,131.124,36.481,76.892,6.425,10.303,50.503
2004,,2940.824,17222.148,15874.696,935.896,115.360,63.660,30.087,85.724,23.362,50.285,4.109,6.706,32.263
2005,,4658.093,24256.284,22481.880,1225.428,153.066,91.279,42.073,105.732,33.467,61.871,5.939,8.557,46.992
2006,,3584.8,51536.413,48142.606,2320.938,296.522,198.871,88.466,178.897,72.822,104.165,13.081,15.473,104.572
2007,,2275.382,37798.899,35073.487,1879.796,235.500,142.762,65.465,159.939,52.333,93.538,9.303,13.049,73.727
2008,,450.783,12000.674,11048.012,662.468,81.432,44.179,20.999,61.404,16.217,36.036,2.846,4.772,22.309
2009,,2189.518,15385.997,14308.308,741.359,93.443,58.527,26.570,61.250,21.447,35.776,3.826,5.083,30.409
2010,,11655.966,48143.577,44616.066,2436.494,304.238,181.095,83.520,210.547,66.400,123.215,11.780,17.025,93.197
2011,,2532.972,22585.230,20798.443,1242.164,152.788,83.226,39.505,114.818,30.548,67.375,5.364,8.936,42.062
2012,,1974.86,12399.279,11442.640,663.683,82.027,46.010,21.629,60.079,16.882,35.225,2.975,4.731,23.398
2013,,7920.905,17898.990,16512.183,962.458,118.856,66.340,31.236,87.439,24.343,51.274,4.287,6.872,33.702
2014,,815.703,12964.684,12012.269,657.995,82.118,48.735,22.497,57.001,17.870,33.361,3.169,4.602,25.066
2015,,1116.225,12538.139,11615.330,637.647,79.548,47.109,21.761,55.336,17.274,32.389,3.063,4.464,24.220
2016,,2532.972,17372.977,16110.270,871.547,109.007,65.484,30.114,74.735,24.007,43.721,4.264,6.070,33.760
2017,,1609.94,10991.989,10150.391,583.500,72.224,40.872,19.158,52.475,14.995,30.759,2.645,4.148,20.823
2018,,85.863,21419.936,19733.502,1171.941,144.283,79.039,37.447,107.902,29.009,63.306,5.097,8.416,39.994
2019,,2919.358,20441.411,18866.052,1092.830,135.096,75.874,35.653,98.834,27.839,57.946,4.906,7.787,38.595
2020,,2017.792,30266.114,27956.120,1601.147,198.308,112.637,52.733,143.597,41.322,84.162,7.292,11.368,57.428
2021,,2361.245,29672.855,27539.999,1470.682,184.365,112.158,51.375,124.747,41.113,72.947,7.311,10.196,57.961
2022,,386.386,17901.911,16493.387,978.763,120.515,66.069,31.294,90.067,24.249,52.842,4.261,7.027,33.437
2023,,2812.029,21940.304,20252.586,1170.592,144.761,81.479,38.259,105.697,29.895,61.966,5.270,8.335,41.465
