Year,Month,Burned Area [ha],Total Emissions [t],CO2 - Carbon Dioxide [t],CO - Carbon Monoxide [t],TPM - Total Particulate Matter [t],PM2.5 - Fine Particulate Matter [t],TPC - Total Particulate Carbon (OC+BC) [t],NMHC - Non-methane Hydrocarbon Compounds [t],OC - Organic Carbon [t],CH4 - Methane [t],SSO2 - ulfur Dioxide [t],BC - Black Carbon [t],NOx - Nitrogen Oxides [t]
2002,,64.398,31053.250,29223.151,1237.048,162.284,122.647,52.778,81.669,44.859,47.180,8.146,7.777,65.711
2003,,128.795,12405.691,11515.292,613.882,76.980,46.908,21.476,51.995,17.195,30.403,3.058,4.253,24.249
2004,,214.659,16154.672,15025.610,776.543,97.923,61.483,27.891,64.010,22.530,37.384,4.020,5.320,31.959
2005,,0,3491.381,3250.765,165.274,20.904,13.332,6.020,13.421,4.885,7.833,0.873,1.125,6.950
2006,,1567.008,20528.972,19240.953,876.530,113.245,80.056,35.083,63.495,29.299,36.860,5.289,5.704,42.458
2007,,1352.35,31811.843,29858.208,1326.501,172.260,124.609,54.261,93.250,45.595,54.051,8.248,8.534,66.325
2008,,0,3997.072,3761.652,159.120,20.878,15.789,6.793,10.495,5.775,6.062,1.049,1.000,8.460
2009,,0,9676.268,9036.596,437.622,55.862,37.307,16.616,33.889,13.662,19.736,2.453,2.923,19.603
2010,,880.101,19548.462,18201.597,925.108,117.016,74.654,33.703,75.099,27.351,43.831,4.888,6.298,38.917
2011,,21.466,8238.185,7640.380,412.558,51.617,31.065,14.277,35.321,11.389,20.662,2.023,2.871,16.021
2012,,42.932,5501.031,5085.706,287.614,35.698,20.532,9.573,25.549,7.531,14.968,1.331,2.034,10.495
2013,,236.125,22698.546,21148.064,1064.098,134.849,86.859,39.101,85.569,31.820,49.921,5.693,7.216,45.357
2014,,0,7218.788,6710.086,350.139,44.076,27.419,12.474,29.111,10.048,17.008,1.791,2.407,14.229
2015,,107.329,11726.814,10943.464,536.463,68.319,45.106,20.157,42.058,16.520,24.508,2.963,3.601,23.655
2016,,0,19315.916,18038.145,874.225,111.577,74.461,33.172,67.752,27.268,39.460,4.896,5.841,39.121
2017,,128.795,8457.995,7939.803,351.759,45.706,33.147,14.424,24.643,12.128,14.281,2.194,2.260,17.650
2018,,0,3184.732,2970.241,147.007,18.687,12.227,5.479,11.635,4.478,6.783,0.802,0.990,6.402
2019,,1287.952,20619.538,19097.888,1051.680,131.130,77.420,35.798,91.494,28.389,53.559,5.032,7.370,39.779
2020,,1567.008,34472.642,32218.576,1540.414,197.119,133.235,59.136,117.712,48.784,68.512,8.769,10.234,70.150
2021,,1266.486,11588.728,10819.155,526.726,67.167,44.635,19.909,41.009,16.346,23.889,2.933,3.526,23.434
2022,,0,2850.577,2653.917,135.094,17.083,10.883,4.915,10.982,3.987,6.410,0.713,0.920,5.672
2023,,257.59,8000.385,7454.363,374.706,47.494,30.621,13.780,30.103,11.217,17.561,2.007,2.540,15.992
