Year,Month,Burned Area [ha],Total Emissions [t],CO2 - Carbon Dioxide [t],CO - Carbon Monoxide [t],TPM - Total Particulate Matter [t],PM2.5 - Fine Particulate Matter [t],TPC - Total Particulate Carbon (OC+BC) [t],NMHC - Non-methane Hydrocarbon Compounds [t],OC - Organic Carbon [t],CH4 - Methane [t],SSO2 - ulfur Dioxide [t],BC - Black Carbon [t],NOx - Nitrogen Oxides [t]
2002,,1116.225,24829.992,23431.848,940.150,124.789,98.922,42.041,57.375,36.166,32.996,6.594,5.749,53.362
2003,,450.783,13143.672,12333.551,550.278,71.397,51.446,22.426,38.885,18.825,22.545,3.404,3.547,27.367
2004,,21.466,22598.726,21357.775,831.958,111.169,90.447,38.185,48.382,33.060,27.742,6.040,5.006,48.963
2005,,0,16571.434,15661.647,609.923,81.505,66.326,28.000,35.455,24.244,20.329,4.429,3.669,35.907
2006,,407.851,16038.689,15178.050,575.362,77.367,64.455,27.051,31.895,23.555,18.232,4.311,3.408,35.003
2007,,0,9585.564,9058.831,353.162,47.182,38.359,16.198,20.566,14.021,11.794,2.561,2.126,20.764
2008,,0,3199.390,3020.378,120.282,15.992,12.761,5.414,7.254,4.665,4.169,0.851,0.733,6.890
2009,,0,12223.732,11565.024,440.596,59.176,49.087,20.624,24.646,17.940,14.097,3.282,2.617,26.642
2010,,0,4598.407,4346.491,168.841,22.575,18.412,7.768,9.772,6.730,5.602,1.230,1.014,9.971
2011,,9294.721,13037.637,12341.603,465.023,62.618,52.441,21.981,25.493,19.164,14.562,3.509,2.745,28.498
2012,,214.659,7850.382,7392.860,308.872,40.634,31.073,13.330,20.022,11.364,11.555,2.066,1.929,16.677
2013,,5624.057,4992.104,4719.671,182.507,24.428,20.002,8.431,10.481,7.311,6.005,1.336,1.094,10.837
2014,,85.863,22378.212,21126.215,841.238,111.850,89.261,37.869,50.725,32.632,29.151,5.952,5.123,48.194
2015,,21.466,2249.563,2129.072,80.534,10.835,9.043,3.794,4.447,3.305,2.541,0.605,0.476,4.912
2016,,1352.35,4186.677,3954.110,156.133,20.799,16.721,7.081,9.288,6.113,5.333,1.116,0.947,9.037
2017,,21.466,11316.964,10609.847,481.004,62.205,44.170,19.333,34.647,16.165,20.107,2.919,3.123,23.443
2018,,0,7955.422,7518.659,292.808,39.128,31.841,13.442,17.021,11.639,9.760,2.126,1.762,17.238
2019,,6246.567,9378.012,8849.468,355.446,47.168,37.356,15.879,21.728,13.657,12.497,2.490,2.175,20.148
2020,,1931.928,17325.257,16341.149,662.416,87.724,68.912,29.355,41.072,25.196,23.643,4.590,4.073,37.126
2021,,0,8347.341,7853.961,333.606,43.733,32.950,14.191,22.128,12.052,12.786,2.188,2.101,17.646
2022,,0,14795.551,13892.159,613.016,79.718,58.024,25.224,42.734,21.230,24.759,3.843,3.932,30.913
2023,,21.466,16370.121,15483.589,593.345,79.584,65.681,27.630,33.540,24.005,19.197,4.390,3.537,35.624
