Year,Month,Burned Area [ha],Total Emissions [t],CO2 - Carbon Dioxide [t],CO - Carbon Monoxide [t],TPM - Total Particulate Matter [t],PM2.5 - Fine Particulate Matter [t],TPC - Total Particulate Carbon (OC+BC) [t],NMHC - Non-methane Hydrocarbon Compounds [t],OC - Organic Carbon [t],CH4 - Methane [t],SSO2 - ulfur Dioxide [t],BC - Black Carbon [t],NOx - Nitrogen Oxides [t]
2002,,0,13036.978,12202.240,569.250,73.196,50.619,22.321,42.363,18.530,24.625,3.338,3.743,26.752
2003,,3069.619,177030.911,163989.037,8740.842,1188.485,755.113,404.634,753.347,345.284,418.672,52.876,59.008,323.612
2004,,0,18379.393,16899.513,961.897,142.505,90.071,56.711,89.163,50.272,46.752,6.761,6.425,29.324
2005,,0,26242.145,24218.528,1299.887,198.162,131.887,83.034,115.750,74.563,59.344,9.989,8.435,42.566
2006,,2683.233,65544.325,60420.961,3426.542,469.882,286.041,161.695,311.381,138.123,171.857,20.320,23.498,114.023
2007,,31576.291,1102508.747,1026539.115,51632.521,6730.173,4392.264,2097.402,4176.983,1747.387,2392.767,295.169,346.956,2158.009
2008,,5838.716,196441.710,181978.604,9851.555,1280.477,785.302,392.034,852.119,323.840,487.070,53.042,67.815,369.851
2009,,128.795,35178.372,32428.301,1839.141,252.250,153.568,86.839,167.142,74.187,92.238,10.911,12.611,61.184
2010,,450.783,67517.801,61975.964,3561.180,543.770,346.621,227.086,334.764,203.471,171.882,26.539,23.583,102.941
2011,,12772.191,580071.576,535381.640,29421.180,4206.829,2677.366,1577.744,2631.544,1379.950,1413.398,195.331,197.011,989.584
2012,,29365.307,1205675.018,1121917.366,57143.433,7371.683,4738.264,2234.744,4668.776,1844.659,2690.548,315.951,386.864,2362.730
2013,,729.839,71313.808,65821.086,3763.711,482.061,280.144,141.007,339.374,114.471,195.165,18.769,26.442,131.578
2014,,214.659,54099.160,50095.676,2716.205,357.086,220.050,112.388,235.828,93.649,133.841,15.016,18.638,100.781
2015,,14017.211,230932.560,214072.387,11638.027,1455.652,870.731,401.847,1002.181,320.208,586.090,56.718,81.170,447.547
2016,,686.908,76611.095,71087.354,3792.550,481.407,295.101,138.894,322.270,112.541,187.050,19.472,26.185,148.271
2017,,31426.03,1048852.926,973465.234,50938.151,6764.024,4310.996,2190.207,4295.861,1843.249,2426.269,295.523,344.598,1978.814
2018,,2876.426,82578.082,76398.851,4065.001,581.628,378.906,219.148,353.914,192.062,189.985,27.536,26.942,144.110
2019,,2168.053,184718.709,171100.426,9147.354,1236.271,781.343,415.286,789.386,352.995,440.403,54.471,61.935,338.838
2020,,6954.941,267578.416,248123.359,13028.811,1774.206,1141.172,607.139,1108.518,519.078,615.691,79.858,87.497,493.085
2021,,23633.92,1426152.037,1325412.620,68794.873,8858.455,5599.320,2665.235,5719.676,2192.878,3296.159,373.438,468.845,2770.538
2022,,5323.535,310942.931,288845.297,15082.463,1945.645,1224.753,587.570,1261.430,483.904,725.848,81.865,102.924,601.232
2023,,0,2171.161,2018.262,101.946,14.028,9.339,4.929,8.387,4.250,4.630,0.656,0.674,4.060
