Year,Month,Burned Area [ha],Total Emissions [t],CO2 - Carbon Dioxide [t],CO - Carbon Monoxide [t],TPM - Total Particulate Matter [t],PM2.5 - Fine Particulate Matter [t],TPC - Total Particulate Carbon (OC+BC) [t],NMHC - Non-methane Hydrocarbon Compounds [t],OC - Organic Carbon [t],CH4 - Methane [t],SSO2 - ulfur Dioxide [t],BC - Black Carbon [t],NOx - Nitrogen Oxides [t]
2002,,32198.801,286782.700,263900.870,15918.207,1954.838,1054.243,502.104,1481.478,387.006,869.554,67.875,114.864,531.660
2003,,51754.206,366502.138,336232.831,21114.690,2576.553,1333.836,644.201,2018.162,489.902,1185.759,85.480,154.183,666.540
2004,,27519.242,214050.209,196963.802,11886.937,1459.653,786.769,374.782,1106.697,288.820,649.585,50.651,85.789,396.726
2005,,11741.829,165191.388,151760.469,9357.460,1145.132,603.974,289.836,883.832,221.779,519.058,38.789,67.967,303.094
2006,,9852.833,162000.637,149027.754,9027.478,1107.866,594.913,283.749,842.608,218.401,494.624,38.284,65.225,299.736
2007,,29730.226,295588.921,273448.299,15322.089,1904.748,1105.549,513.975,1351.395,405.475,791.517,71.735,108.000,566.139
2008,,450.783,190023.468,174794.147,10598.359,1300.449,697.658,332.863,989.869,256.123,581.083,44.891,76.597,351.429
2009,,28935.989,775258.506,711263.051,44638.965,5447.647,2821.882,1362.591,4264.996,1036.436,2505.836,180.856,325.906,1410.341
2010,,41901.373,589383.493,542397.778,32684.329,4014.445,2167.160,1031.804,3039.802,795.541,1784.166,139.543,235.775,1093.149
2011,,11419.841,572637.666,525772.671,32668.095,3992.992,2089.664,1005.471,3101.091,767.400,1821.558,134.085,237.815,1046.823
2012,,26166.892,868765.068,802029.253,46282.234,5725.025,3227.519,1514.707,4174.029,1184.149,2446.935,208.792,329.387,1643.039
2013,,72511.7,978529.833,900645.178,54171.423,6655.577,3599.674,1712.759,5031.801,1321.369,2953.195,231.830,390.557,1816.469
2014,,21787.855,550054.309,505545.802,30997.842,3796.756,2013.917,964.569,2916.987,739.453,1712.851,129.422,224.778,1011.929
2015,,129739.702,1533112.255,1412945.084,83476.490,10285.877,5664.164,2678.900,7657.559,2078.733,4492.090,365.506,598.529,2869.322
2016,,31104.042,1065972.252,982228.029,58185.470,7166.412,3935.772,1863.110,5347.650,1444.466,3137.279,253.900,417.539,1992.624
2017,,25437.053,873316.580,802269.679,49501.391,6057.145,3192.482,1532.375,4677.621,1172.286,2747.126,205.014,359.622,1601.840
2018,,12235.544,430663.109,395380.342,24596.507,3005.832,1571.086,756.275,2336.741,576.969,1372.625,100.796,179.120,786.818
2019,,796469.542,1418700.822,1311964.688,73893.099,9177.870,5299.993,2468.017,6543.344,1943.960,3833.080,343.718,521.742,2711.311
2020,,321580.159,1393418.528,1287053.060,73727.019,9131.112,5185.461,2427.797,6612.966,1902.332,3875.866,335.710,523.465,2643.739
2021,,35740.669,402501.653,369791.371,22788.760,2789.044,1471.830,706.170,2151.676,540.450,1263.622,94.531,165.498,738.703
2022,,13330.304,230957.932,212044.107,13184.883,1611.388,842.651,405.559,1252.212,309.455,735.554,54.065,96.003,422.056
2023,,93011.603,748948.406,695126.090,37111.766,4652.536,2831.036,1296.691,3147.269,1037.754,1840.365,184.558,257.262,1463.078
